Milliseconds ago,r_asn
-121406638,4766
-121034225,8070
-120661812,8075
-120289399,11062
-119916986,12297
-119544573,13867
-119172160,18229
-118799747,20773
-118427334,25956
-118054921,34104
-117682508,4134
-117310095,4713
-116937682,4766
-116565269,4837
-116192856,8400
-115820443,11062
-115448030,12297
-115075617,18182
-114703204,18229
-114330791,20773
-113958378,25956
-113585965,34104
-113213552,3
-112841139,209
-112468726,1239
-112096313,2152
-111723900,2914
-111351487,3561
-110979074,3701
-110606661,5067
-110234248,6432
-109861835,8070
-109489422,8560
-109117009,9156
-108744596,10565
-108372183,10910
-107999770,11115
-107627357,12182
-107254944,12222
-106882531,15169
-106510118,17210
-106137705,17225
-105765292,17358
-105392879,18924
-105020466,19024
-104648053,19306
-104275640,19535
-103903227,21844
-103530814,22822
-103158401,23504
-102785988,25751
-102413575,32313
-102041162,33419
-101668749,34104
-101296336,36347
-100923923,36561
-100551510,209
-100179097,553
-99806684,559
-99434271,701
-99061858,1668
-98689445,3356
-98317032,3561
-97944619,3701
-97572206,5617
-97199793,5662
-96827380,6453
-96454967,8070
-96082554,9457
-95710141,10763
-95337728,11486
-94965315,12168
-94592902,12222
-94220489,15169
-93848076,16509
-93475663,24587
-93103250,30060
-92730837,30315
-92358424,34104
-91986011,18
-91613598,102
-91241185,209
-90868772,1213
-90496359,2152
-90123946,2637
-89751533,2701
-89379120,3356
-89006707,3561
-88634294,5779
-88261881,6130
-87889468,6432
-87517055,6939
-87144642,7224
-86772229,7324
-86399816,7349
-86027403,7859
-85654990,8070
-85282577,10565
-84910164,10933
-84537751,11266
-84165338,12168
-83792925,12222
-83420512,13593
-83048099,14780
-82675686,15169
-82303273,16509
-81930860,16966
-81558447,17052
-81186034,17225
-80813621,17232
-80441208,23516
-80068795,26062
-79696382,26101
-79323969,26201
-78951556,26228
-78579143,26978
-78206730,29960
-77834317,33419
-77461904,33694
-77089491,36088
-76717078,205
-76344665,209
-75972252,1221
-75599839,2518
-75227426,2914
-74855013,3257
-74482600,3269
-74110187,3356
-73737774,3549
-73365361,3561
-72992948,3671
-72620535,4134
-72248122,4323
-71875709,4755
-71503296,5617
-71130883,6327
-70758470,6432
-70386057,6496
-70013644,6740
-69641231,6939
-69268818,7132
-68896405,7643
-68523992,7738
-68151579,8151
-67779166,8732
-67406753,9121
-67034340,9304
-66661927,9808
-66289514,11426
-65917101,11486
-65544688,12262
-65172275,13367
-64799862,13462
-64427449,14272
-64055036,14390
-63682623,14742
-63310210,14779
-62937797,17621
-62565384,19262
-62192971,19296
-61820558,21844
-61448145,25973
-61075732,26085
-60703319,26101
-60330906,26831
-59958493,27699
-59586080,30890
-59213667,31976
-58841254,33651
-58468841,158
-58096428,1257
-57724015,2852
-57351602,3265
-56979189,3491
-56606776,3561
-56234363,4134
-55861950,4323
-55489537,4766
-55117124,4812
-54744711,4814
-54372298,4837
-53999885,6461
-53627472,6478
-53255059,7132
-52882646,8376
-52510233,9318
-52137820,9416
-51765407,11486
-51392994,14777
-51020581,14778
-50648168,15169
-50275755,17633
-49903342,17672
-49530929,17964
-49158516,20773
-48786103,25847
-48413690,33287
-48041277,47
